post_id	tweet_text	cord_uid
2307	He not only consumed most of his 30 minutes to speak himself, rather than question barrett, but he did so loudly and without a mask, which studies have shown creates more respiratory droplets that stay in the air for a longer period of time.	svi7syld
2309	"""young adults described social or peer influence to not wear a mask""  in new -- factors influencing #covid19 exposure among young people.  i've heard this same peer-pressure from friends imposed on them by others."	j7iis8h2
2310	📣📣study and #ILD in ##RA ▶️410 patients with chronic fibrotic #ILD associated with RA (RA-ILD) and 673 patients with RA without ILD.  ▶️study use is not associated with an increased risk of RA-ILD in patients with RA 🇫🇷🇮🇹🇲🇽	k8yp9p0g
2311	new research nz study: more confirmation that young children hardly ever trigger #covid19 outbreaks. feb-may: # of cases where the household cluster was initiated by a child under 15 yrs: 9/ 316 household clusters.  #publichealth #teachers #education	q6j7vy8u
2312	#covid19 public health measures have severely affected the lives of people with #dementia and #carers, our uk research has shown. now, new guidelines for the most vulnerable have been introduced again	psk1lnff
2314	hey, scamademics. stop deceiving. “the number of excess deaths, per 100,000 people and relative increase in deaths were similar between men and women in most countries. england and wales and spain experienced the largest impact” | nature medicine	vnb7g17n
2315	New findings from 5 countries show that susceptibility to COVID misinformation is rare, but associated with limited numerical understanding, poor adherence to hygiene rules and low vaccine acceptance.	ajzcx2rg
2316	A single dose of 300,000 IU vitamin D may have a role in prevention and treatment of COVID-19. Nothing like this will ever be implemented nationwide because it's too affordable and makes too much sense but individual doctors could prescribe it.	wf72fra8
2317	Real-time monitoring of global CO2 emissions reveals the effects of the COVID-19 pandemic - an unprecedented decline - larger than during the financial crisis of 2008, the oil crisis of 1979, or even World War II.	cwdtyr1v
2319	"""a massive cross-campus effort from myself and many others shows that prior flu infection hinders SARS-CoV-2 infection but leads to more severe symptoms, a prolonged inflammatory response, and increased brain infection."""	1tx3tl0f
2320	utilizing large-scale #gwas, we screened 955 circulating proteins for their part in #covid19 outcomes using #mendelianrandomization.  we discovered that heightened oas1 levels strongly shielded against covid19 outcomes.  1/n	wge6a6sy
2321	severe acute respiratory syndrome coronavirus 2 nucleocapsid protein in the ocular tissues of a patient previously infected with COVID-19	49er7f3r
2322	"Government funded study from March. yet they still imposed lockdowns!?  ""finally, in OECD countries, SARS-CoV-2 does not appear to be deadlier than other circulating viruses""  ""fear could have a larger impact than the virus itself""  1/6"	5nue46dm
2323	Return of the Jedi!!  HCQ succeeds!!  Even with data analysis. Randomized controlled trials of early ambulatory hydroxychloroquine in the prevention of COVID-19 infection, hospitalization, and death: meta-analysis | medRxiv	5nsayxwc
2324	remarkably extensive study particularly the scope of contact tracing conducted, from India. kids are a crucial source of transmission. 5% of individuals accountable for 80% of infections. epidemiology and transmission patterns of COVID-19 in two Indian states.	jzm6nc41
2325	Randomized controlled trials of early ambulatory chloroquine in the prevention of COVID-19 infection, hospitalization, and death: meta-analysis | medRxiv early use CQ=statistically significant reduction in COVID-19 illness, hospitalization, and death	5nsayxwc
2326	systematic review &amp; meta-analysis: “the randomized clinical trials conducted to date demonstrate: #hcq use in outpatients safely lowers incidence of composite of #covid19 infection, hospitalization &amp; death. no serious adverse cardiac events were reported”	5nsayxwc
2327	I wear a face covering everywhere, I will endorse them as much as I can if you can just show me why 14 RCTs finding no impact on transmission are incorrect or why face covering usage is different for COVID.	ef3warsh
2328	yet more evidence that vitamin d deficiency has a significant impact on adverse effects of covid-19. it's time our government acknowledges this. addressing this is more effective and 100x cheaper than some other government anti-covid measures.	w1pv8dsg
2329	Study reveals 24% drop in fatalities and hospitalizations. That could have been 50k lives preserved😳. Randomized controlled trials of early ambulatory hydroxychloroquine in the prevention of covid-19 infection, hospitalization, and death: meta-analysis | medrxiv	5nsayxwc
2330	Outstanding evidence yet that spike g614 variants of sars-cov-2 have a fitness advantage over the original d614 viruses. Very impressive and important work here from  and colleagues.	si5mxgrk
2331	"""... part children play in transmission is underestimated..."" #covid, #coronavirus #epidemic #pandemic #healthcare #medicine #age  ---- epidemiology and transmission dynamics of covid-19 in two indian states"	jzm6nc41
2332	Global COVID-19 pandemic necessitates collective actions for the prevention of subsequent outbreaks | pnas	dogie34u
2333	"'allowing for diversity reduces the estimate of ""counterfactual"" deaths that would have occurred if there had been no interventions from 3.2 million to 262,000. slowing and reversal of covid-19 mortality is attributed to the build-up of herd immunity.'"	u6a65x9h
2335	A recent study of HCQ randomized clinical trials:  #hydroxychloroquine use in outpatients lowers the incidence of the composite outcome of COVID-19 infection, hospitalization, and death. severe adverse events were not reported and cardiac arrhythmia was uncommon.	5nsayxwc
2336	Cardiopulmonary arrest is common in critically ill patients with #covid19 and is associated with poor survival, particularly among patients aged 80 or older, finds new research	8pislcjr
2337	Comprehensive review and meta-analysis of published research data on COVID-19 infection-fatality rates.	cymppa7g
2338	Sars-cov-2 antibody testing in a uk population: detectable igg for up to 20 weeks post illness.: Background the sars-cov-2 pandemic necessitated swift and global responses across all areas of healthcare, including an unprecedented interest in…	0zphhxxh
2339	no clinical advantage of hydroxychloroquine administered daily for 8 weeks as pre-exposure prevention but adverse occurrences more common with hcq. efficacy and safety of hydroxychloroquine vs placebo for pre-exposure sars-cov-2 prevention among healthcare...	raw2mt47
2340	1/ for those who want rct with #hydroxychloroquine, see published piece meta analysis of 5 rcts. 5,577 patients were included.  “hcq was associated with a 24% decrease in covid-19 infection, hospitalization or death.”	5nsayxwc
2341	Effectiveness of tests to detect the presence of SARS-CoV-2 virus, and antibodies to SARS-CoV-2, to inform COVID-19 diagnosis: a swift systematic review	8sb8brew
2342	Researchers investigated how different mutations in SARS-CoV-2 variants affect vaccine-induced immunity. The lead researcher, along with others, conducted this study using 18 SARS-CoV-2 variants. (1/n)	qdmkx03t
2343	Clinical results in immunized individuals hospitalized with delta variant of sars-cov-2 (in India)  immunized individuals showed: 1) significantly higher neutralizing antibodies 2) significantly low severity of the disease 3) 50% lower mortality rate	5lqjmqu5
2344	A substantial Spanish COVID study revealing a relatively small 5 percent advantage of vitamin D supplementation comparable to our Zoe COVID study, and only substantial in a subgroup with optimal blood levels.	c25womxb
2345	Healthcare isn't a luxury that only the wealthiest should be able to afford. Not surprisingly, new research in JAMA reveals medical debt is most prevalent among low-income US households.	njj0dck7
2346	a.) you'll never realize this. the vast majority of breakthroughs happening in fully vaccinated will be asymptomatic/mildly symptomatic and they’ll never get tested.  b.) if you are fully vaccinated, your chances of transmitting are significantly lowered.	hxpqexi1
2347	Researchers have released the 1st ever study on the estimated 1.5m children who lost a parent/caregiver due to #covid19. USAID supports investments in child-protection systems &amp; social services that prioritize safe, permanent family care for children.	wzz5ioek
2348	3,618/  cameroon (current tobacco smoking age 15+ was 7.6% in 2017) of 177 with covid-19, 7.3% were tobacco users  of 113 with neurological symptoms, 8.9% were tobacco users  note: not specified if current or ever	78qsuc5l
2349	As expected, it's not one's weight, rather metabolic wellbeing, that determines infection outcomes. Visceral adiposity and severe COVID-19 disease: application of an artificial intelligence algorithm to improve clinical risk prediction.	utc0qrax
2350	Viral obstruction is a well-known (but poorly understood) phenomenon. Obstruction from rhinovirus is generally thought to have ended the swine flu epidemic in 2009.	8rogsybc
2351	Youth self-inflicted death did not rise in England in 2020. A concerning but non-significant increase occurred during the 1st lockdown but did not persist or recur in the 2nd lockdown. Our joint study with the team, now in pre-print.	skm4qtgx
2352	Among critically ill patients with COVID-19, lopinavir-ritonavir, hydroxychloroquine, or combination therapy actually made outcomes worse compared to no antiviral treatment.	c0i45oix
2353	New study revealing stark inequality in decrease in lifespan over the past 2 years in the US among Hispanics and blacks >2x that of whites, but all far worse than a group of 16 affluent peer countries. effects of inadequate healthcare access & racial disparities in the US.	3akrube4
2354	Alarming! Globally, from March 1, 20, to April 30, 21, a study estimates 1,134,000 children experienced the loss of 1st-degree caregivers, including at least one parent or custodial grandparent. 1,562,000 children experienced the loss of at least 1 primary or secondary caregiver.	wzz5ioek
2355	"""This case further implies that, at least in some individuals, vaccination does not offer sufficient immunity to prevent nasopharyngeal shedding of SARS-CoV-2, allowing consequently viral transmission."""	jlnt1pdd
2356	Variants are a cause for concern.  never just going to be just the illness.   time to get serious about understanding spread.  “the emergence…(of viruses) has slowed progress against the pandemic in three distinct ways:   (i) by increasing contagiousness…	bsiwkixj
2357	"""together, the evidence supports a model in which severe and fatal covid-19 are driven by an aberrant immune response to the infection that causes pathology rather than restoring wellness."""	o0m20894
2358	Over 1.5 million #children have lost a parent, grandparent, or other family caregiver during the COVID-19 pandemic.  so anybody who says that kids aren’t impacted by #COVID is missing a significant part of the narrative.	wzz5ioek
2359	"""Increasing evidence supports mixing ethanol into gasoline reduces emissions of toxic chemicals including secondary aromatics...ethanol mixing is beneficial to human health given toxic chemicals are significantly reduced due to displacement by ethanol."""	o7a9c52u
2360	5/ notably, antibody responses after symptomatic &amp; asymptomatic infection in students were indistinguishable 👉 even asymptomatic infection leads to robust immune responses in kids, both in terms of amount of antibody &amp; their ability to kill virus 👉	r8qzhm55
2361	My recent study with Ryan Masters also produced similar results, but also showed that the devastating loss in US life expectancy was 8.5 times the average for peer countries...and 15-18 times higher for people of colour.	3akrube4
2362	Evidence of a proposed glycosaminoglycan binding site on the 'glycosylated SARS-CoV-2 spike protein N-terminal domain - sciencedirect	2cq5vpyd
2363	Adults with learning disability and those with Down's syndrome or cerebral palsy have significantly heightened risks of hospital admission and death from COVID-19, finds study. Prompt access to testing and healthcare is justified, say researchers	eknixot2
2364	During #covid19, the wealthiest black individuals faced a mortality rise more than 3.5 times greater than the poorest white individuals in a recent study. inequalities aren't solely about who possesses wealth.	6hoajaru
2365	Overlooked post-acute infection syndromes (paiss) are a blind spot in medicine (inclusive of #longcovid) great read here by  &amp; team…	0phf73r6
2366	Single case report.  “This instance seems to validate the worries that the CD4+ T-cell depletion linked to COVID-19 may encourage the emergence of active tuberculosis from latent infection much like HIV does.”	il5307pl
2367	marked T-cell activation, senescence, exhaustion, skewing towards Th17 with COVID-19 pneumonia: the T-cell compartment has several alterations involving naive, central memory, effector memory, terminally differentiated cells, and regulatory T-cells, including PD-1+ CD57+ exhausted T cells.	55yxh5er
2369	"if ""specialists"" are going all-in on masks as the way to stop the spread, they probably should discuss which type...   because this unbiased/nonpolitical study concludes that cloth masks put you at higher risk of infection..."	9pb2eqoa
2370	and completely ineffective from a medical perspective:  “our systematic review found no significant effect of face masks on transmission of laboratory-confirmed influenza … ” - cdc, massive meta-analysis of randomized clinical trials	ef3warsh
2371	may 2020: “limited evidence for effectiveness in preventing flu virus spread when worn by infected individual for or when worn by uninfected persons to reduce exposure. our review found no significant effect of masks on transmission of influenza.”	ef3warsh
2372	⚠️extremely severe findings in covid autopsy study: massive number of blood clots and blood hemorrhaging, and harm/destruction to alveoli that absorb oxygen. wearing a mask is the least you can do for others.	y07xjnpe
2373	"""We discovered that the bulk of cases can be linked to quiet transmission from...pre-symptomatic &amp; asymptomatic carriers."""	soa71kwx
2374	this doesn't shock me!!  cognitive ability capacity predicts individual differences in social-distancing compliance during the covid-19 pandemic in the united states	bujh6goe
2375	why bubba and sheila refuse to wear a mask:  cognitive ability predicts individual differences in social-distancing compliance during the pandemic  #covidiots #schoolreopening	bujh6goe
2376	Identification with traditional masculine norms has a significant negative impact on emotional reactions towards wearing masks during the COVID pandemic #socsciresearch	9hpkmjvu
2378	in other words, the less intelligent you are the more likely you are to not socially distance and get sick/get someone else sick. lololol imagine that.	bujh6goe
2379	We know suppressing emotions brings risky backlash. We need a holistic approach to wellbeing including intentional rejection of mental health care stigma.	lsvf3hl6
2380	i asked if it stops it coming out then why is it that  it won't stop it from entering? you don't pay attention. i have no nasty coughing and sneezing.. if i did i would stay home.. asymptomatic patients  stand a 0 % chance of spreading covid. nih=science	7xb7hj9u
2381	to me, this appears like a suspiciously high number, especially as a recently published study in the lancet from spain indicated a seroprevalence level of around 5%	m5siraig
2382	adults teach our classes, serve meals, maintain the schools, manage the front office, and operate the buses -- not kids.  according to the cdc, the median age of a non-white person who died is 31. for white persons, it's 44 years.	nj94rv6f
2383	...since sars-2 can linger in air/remain infectious, low-dose far-UV lamps could effectively kill it, indoors this tool augments physical distancing, masks, &amp; ventilation to potentially reduce transmission of coronaviruses and influenza!	x7ffgtrd
2384	Researchers from  offer evidence from #covid_19: 'the decision to follow the #socialdistancing norm in prioritizing societal benefits over personal costs is contingent on one’s working memory capacity, the core of human cognition.'	bujh6goe
2385	This lends credence to other reports - there may be a high level of infection with #omicron. A report from  explains how one individual at a quarantine hotel became infected and never had documented contact with the case - just on the same floor in hotel.	wq4jsc4x
2386	"CDC study found ""immunized individuals"" are ""no less contagious than unimmunized individuals."" not yet peer reviewed, but if true, drastically undermines any remaining case for vaccination as a great moral imperative, justifying punishment for ""the unimmunized."""	52jtd51o
2387	More positive news for kids from Germany.  Literally not a single death of a healthy 5-17 year old from Covid.  So quite why are we offering them a vaccine with significant risks?	d5sxycaw
2388	"""those high in vulnerable narcissism believe in conspiracy theories because they suffer from anxiety, whereas those high in grandiose narcissism believe in conspiracy theories because of a desire to stand out."""	jmnp0l2b
2389	when patients and scientists collaborate as joint partners we can shift the needle faster and in the correct direction.  pls read this #longcovid paper on tremors and internal vibrations - distressing symptoms that can result from the mildest case.	8ihlm3fw
2390	"""The lowest risk was observed in children aged 5-11 without pre-existing conditions. In this group, the ICU admission rate was 0.2 per 10,000 and case fatality could not be calculated, due to an absence of cases. How are COVID-19 injections justified for this age group?"""	d5sxycaw
2391	As we face delta and the new omicron variant, the more of us who wear masks, the safer we’ll all be. wearing masks could save a life.	zl4ixyg1
2392	"ummmm. cvs and walgreens better get ready for the surge.   “mask up to keep it up"": preliminary evidence of the association between erectile dysfunction and covid-19 - pubmed"	kp4j9snc
2393	Reinfection with fresh strains of sars-cov-2 after natural infection: a prospective observational cohort in 13 care homes in england - the lancet healthy longevity	viqy2ec5
2394	Az &amp; Pfizer: vaccinated individuals had higher antibody levels and more effectively inhibited the spike-protein interactions (compared to patients with actual COVID)	h365e9gx
2395	Increased risk of SARS-CoV-2 reinfection linked to emergence of the Omicron variant in South Africa | medRxiv	8s9l69gb
2396	this is 1 of the studies but was pre-omicron. most of the infections were of alpha variant. 19% of breakthrough infections had persistent symptoms &gt;6 weeks. there's another study in lancet that shows 49% lower risk of long covid compared to unvaxxed infections	wehqqbjx
2397	Intrauterine viral infections: effects of inflammation on fetal brain development	3xzivp7d
2398	Some outstanding research by Lin William Cong, Danxia Xie and Longtian Zhang suggests the crypto industry is deeply deceitful with both trading volumes faked and prices largely resulting from manipulation.	5g8fk5pg
2399	🔴 #test_comparison #testing_saliva we compared saliva and #midturbinateswabs for detection of #covid19:  ▫️#saliva was 12x more sensitive▫️ than nasal swab _initially_ in infection when transmission is most likely (not peer reviewed yet)  via	h1sura49
2400	conclusions: there was no decrease in per-population daily mortality, hospital bed, icu bed, or ventilator occupancy of covid-19-positive patients attributable to the implementation of a face-covering mandate.	atwx0a2s
2401	Epidemiological data from South Africa shows a 3-fold increase in risk for reinfection due to Omicron versus Beta and Delta. These findings provide epidemiological evidence for Omicron's ability to evade immunity from past infection. Get vaccinated.	8s9l69gb
2402	&gt; which are the impacts of immunosuppressive drugs on COVID-19 severity in patients with autoimmune hepatitis? great work of teamwork on liver int! #covid #teamwork #aih #liverdisease #liverint #autoimmune	zfcc2n40
2403	In a randomized trial in Bangladesh, increased donning (13.3%, up to 42.3%) reduced symptomatic #covid in villages by 35%   (adjusted prevalence ratio = 0.65 [0.45, 0.85]). face coverings are an effective method to reduce symptomatic sars-cov-2.	zl4ixyg1
2404	remarkable 86% decrease in odds of testing positive in those who got a booster compared to those who only got 2 doses, most pronounced a few weeks after getting the third dose.   #covid19	4gxff3rd
2405	south african study:  for the unvaccinated previously infected, risk of omicron reinfection is 2.39 x more likely than original strain. this undermines natural protection argument.  study doesn’t address severity, or risk of reinfection after vaccination.	8s9l69gb
2406	Covid-19 mortality risk correlates inversely with vitamin D status, and a mortality rate close to zero could theoretically be achieved at 50 ng/ml 25(oh)d: results of a systematic review and meta-analysis. keep those d levels high.	2lap3xy0
2407	A case-control analysis revealed an association between receiving the booster dose and a decrease in the likelihood of testing positive for sars-cov-2, possibly offsetting waning immunity in the short term  #vaccine #covidvaccine	4gxff3rd
2408	Obesity and COVID-19: what makes overweight host so susceptible? - pubmed	868txjrw
2409	"new study.  ""our results show that face coverings significantly reduce the risk of sars-cov-2 infection compared to social distancing. we find a very low risk of infection when everyone wears a face covering, even if it doesn’t fit perfectly on the face."""	hqapg5ow
2410	Mass immunization with existing preventive vaccines against the backdrop of a severe pandemic and highly adaptable virus strains produces more contagious mutations, resulting in complete vaccine immunity loss. Those vaccinated will develop antibodies.	53t1mhnb
2411	ok how about this analysis of 72 studies - yes 72 - which found that mask-wearing reduces new covid-19 cases by 53%.	mja2qlpk
2412	Exceptional research to establish the mechanistic connections b/w the az vaccine, platelet factor 4 &amp; tts.  advantages for vaccine safety &amp; comprehension of pathways to auto-immunity.	bqy5eo3p
2413	"""In addition to avoidance, salt therapy should be recommended as a complementary therapy in patients with prolonged exposure to indoor air dampness microorganisms, which may cause damage to the respiratory mucosa."" #mold #moldillness"	ntm0moof
2414	Sustained activity of regulatory DNA sequences derived from certain human endogenous retroviruses (HERV) plays a key role in development of stem cell-like therapy-resistant, clinically lethal cancers.	1gbq9j88
2415	A recent, unverified study confirms that kids have minimal symptoms but are often infected with #coronavirus. we must shut kindergartens and schools right away. #coronaferien	hnx213kp
2416	"""The cumulative seroconversion curve demonstrated that the rate for AB and IgM reached 100% around 1 month of illness duration."""	llqpfhwg
2417	SARS-CoV-2 cell entry relies on ACE2 and TMPRSS2 and is halted by a clinically proven protease inhibitor: cell	vbayngh0
2418	A crucial study on #sarscov2 #covid19 shedding in 9 mild cases from a Munich cluster: no infectious virus in the respiratory tract after day 8 &amp; &lt;10e6 RNA copies/ml. Prolonged shedding even after neutralizing antibodies are present.	gunn55f9
2419	"""The current research indicates that COVID-19 frequently manifests as a typical cold-like condition. SARS-CoV-2 can actively multiply in the upper respiratory tract, and is released for an extended period following symptom resolution,"""	gunn55f9
2420	Reports suggest that while kids are unlikely to show severe symptoms, they still release the virus.  As seen in this case study of a 6-month-old baby with high nasopharyngeal swab loads.	2zbm4iwn
2421	As the march of #covid-19 persists, the Wuhan experience demonstrates that like many viruses, COVID-19 triggers a widespread intravascular clotting in the severely ailing patients.	dll2zv8s
2422	"mmwr report on secondary transmission of #covid19 virus sars-cov-2 has a small ""sample"" but shows 45% transmission in close contacts and 10.5% transmission in household members. #publichealth #coronavirus #infectiousdiseases"	mvm1t0y7
2423	Characteristics, properties, and immunogenicity of the SARS-CoV-2 spike glycoprotein	trlni6iq
2424	Here's a pre-print from me,  &amp; co. if you're short on time, the title sums it up: 😁 proactive low-cost social distancing and enhanced hygiene implemented before local #covid19 transmission could decrease the number and severity of cases.	ecobfbpg
2425	"""At the national level, the highest numbers of cumulative excess deaths due to covid-19 were estimated in India, the USA, Russia, Mexico, Brazil, Indonesia, and Pakistan. Among these countries, the excess mortality rate was highest in Russia and Mexico""."	wjktna81
2426	2/it took 15 yrs to finally get antibody testing. they were sky-high. tsh was only 6.4, but i could barely get out of bed to care for my kids. finally, i had answers. i surmise some of these people have thyroiditis (or some other overactive immune response).	y7v9zc6w
2428	These kids had takotsubo “shattered heart” syndrome. autopsy histopathologic cardiac findings in 2 adolescents following the second covid-19 vaccine dose - pubmed	umrk96gz
2430	A new study in Cell reveals the mechanism behind COVID-induced loss of smell. In short, the most likely explanation lies in the widespread down-regulation of olfactory receptors and their signaling components, rather than infection of, or damage to, neurons.	bd0fx842
2431	covid-19 infection and hospitalization among adults aged ≥18 years, by vaccination status, before and during covid-19 b.1.1.529 (omicron) variant predominance — los angeles county, california, november 7, 2021–january 8, 2022 | mmwr - covid-19	k457kqlo
2433	our sars-cov-2 nanovaccine study is published! we detail the creation of immune-focused receptor-binding domain nanoparticle vaccines which induce strong and long-lasting neutralizing antibodies against sars-cov-2 and variants of concern.	spkjn8bq
2434	"""no. 'prior infection' immunity' from having #covid19 infection does not provide as much immune protection as #vaccination. not even close."""	ybcr7clp
2435	"""Alert! "" inclusion of people on day 6 to 10 of illness will increase the risk to others and undermine the intended benefits resulting in more sick workers.""  ""47% of people who felt well enough to work 5 days after covid were likely still contagious"""	vxv7pq8v
2437	A recent study by Dr Thomas West reveals that encouraging (&amp; empathetic) leadership is connected to reduced work stress on staff &amp; greater input on choices. Both factors are related to increased patient satisfaction.	tx7ql71r
2439	Examining correlations between tweet volumes and over-the-counter medication sales for allergic rhinitis: historical review	l5sn0cx6
2440	the potency of repeated stimulation is especially crucial for those with a weaker immune system.  longevity of omicron-neutralizing serum activity following mrna booster immunization in elderly individuals	qgxo9cr7
2441	"science: ""patients with vitamin d deficiency (&lt;20 ng/ml) were 14 times more likely to have a severe or critical disease than patients with 25(oh)d ≥40 ng/ml.""   politicians: ""ignore reality – we need to provide more boosters to keep you safe and healthy..."""	xmtv0v6q
2442	Wait, so fit-tested N95 masks were less effective at preventing influenza among out-patient healthcare workers than surgical masks? what are we doing here? I was pro-mask, pro-restriction when we didn't know anything about SARS-CoV-2 but that's not the case anymore	cnmawglq
2443	"""Patients with vitamin D deficiency (&lt;20 ng/ml) were 14 times more likely to have severe or critical illness than patients with 25(oh)d ≥40 ng/ml"""	xmtv0v6q
2444	Vitamins' antioxidant, anti-inflammatory and immunomodulatory functions in COVID-19 treatment - ScienceDirect	m72i8vtq
2445	Nightmares in people with COVID-19: did the coronavirus infect our subconscious?	nzsx8gb4
2446	Experiences and well-being of healthcare professionals working in the field of ultrasound in obstetrics and gynaecology as the COVID-19 pandemic were evolving: a cross-sectional survey study	s2tdo7bn
2447	this chinese military study of the initial wuhan outbreak concluded that “t cell counts are greatly decreased in covid-19 patients, and the surviving t cells appear functionally exhausted.” (32/🧵) diao et al	aqcllik0
2448	hypothesis: all respiratory viruses (including sars-cov-2) are airborne-transmitted   julian tang, raymond tellier.  *theory*?   anyone else think they’ve downplayed it?!   h/t ⁦⁩  #covidisairborne	m26sn2qg
2449	"""Cellular immunity plays a central role in the control of SARS-CoV-2 and its importance may have been relatively underestimated thus far"""	edz3up3a
2451	the problem with virus acquired immunity is it is much shorter and more limited than vax acquired immunity. and, it appears omicron may provide very short immunity. we were all expecting it would give us a reprieve.	ybcr7clp
2452	new report: individuals who claimed to always wear a mask in indoor public areas were less likely to test positive for covid-19, and the use of better masks was associated with enhanced protection. h/t	eay6qfhz
2453	A recent study indicates that ordinary individuals are safer when using respirators compared to standard medical or fabric face masks.	eay6qfhz
2454	ivermectin, a potential anticancer drug derived from an antimalarial drug; would you use “horse paste” if it cured your cancer?	sywxrxmf
2455	pediatric acute URI has increased with omicron variant surge. nearly a third of affected children develop severe disease❗️ acute upper respiratory infection in children with the #omicron variant of #sarscov2: a report from the national covid cohort collaborative	2sst2426
2456	A new study suggests hydroxychloroquine shortens symptom duration by 4.5 days compared to 2.6 days for remdesivir versus the control.  Hydroxy costs $11 for treatment versus $3,000 for the big pharma's remdesivir.  How do you like those apples?	104lecie
2457	Widespread #covid spread in a kids camp: a preview of school re-opening? new paper with unsettling details that unfortunately challenges claims that transmission in young children will be lower than adults. more useful info on %asymptomatic too! thread	cjmmwl2q
2458	According to this study, shutting schools in the spring saved thousands of lives. Thanks to all those who made the difficult decision to act swiftly.	7qpwux9w
2459	As one would have expected, COVID-19 has impacted surgical training, according to this survey #surged #surgerytwitter	ad17mwtj
2460	"""cdc report on the covid-19 outbreak at a georgia summer camp  ""the overall infection rate was 44% (260 of 597), 51% among those aged 6–10 years, 44% among those aged 11–17 years, and 33% among those aged 18–21 years"""	cjmmwl2q
2461	chloroquine thread 1 chloroquine is a potent inhibitor of SARS-CoV-2 infection and spread	dgnddq80
2462	A recent study published in the Journal of American Medical Association reveals heart damage in 78% of individuals who experienced minimal to mild symptoms after recovery, including relatively young individuals, suggesting potential long-term health consequences and reduced lifespan.	4cqf9v2v
2463	"""To minimize suicides during the COVID-19 pandemic, it is crucial to lower stress, anxiety, apprehensions and isolation in the overall population. Let's improve in media &amp; social media. Fewer sensational headlines, more uplifting facts."""	v1egyqt4
2464	Asymptomatic spread can prolong &amp; exacerbate the #covid19 pandemic. although asymptomatic carriers pose challenges for pandemic control, there have been only a limited number of studies about asymptomatic transmission on the dynamics of the pandemic	6pn9jwfn
2465	At least 260 kids and teens have contracted covid-19 at a georgia sleepaway camp.	cjmmwl2q
2466	7/31 cdc report: “this investigation contributes to the body of evidence demonstrating that kids of all ages are susceptible to sars-cov-2 infection (1–3) and, contrary to early reports (5,6), might play an important role in transmission (7,8).”	cjmmwl2q
2467	that T-cell immunity suggests we may already have herd immunity, reached at between 5-15% of the population infected	4gr6i8rf
2468	Chloroquine is a potent inhibitor of SARS coronavirus infection and transmission | virology journal | full text	dgnddq80
2469	This study provides evidence that (hydroxy)chloroquine may be used effectively in treating moderate COVID-19 cases.	t1vom8f3
2471	study 100 patients recovered #covid19 cmr showed cardiac involvement 78 patients &amp; ongoing myocardial inflammation 60 patients, independent preexisting conditions, severity &amp; overall course of the acute illness, &amp; time from the original diagnosis	4cqf9v2v
2472	Across diverse demographic profiles, including age, sex, race or ethnic group, and factors that heighten the risk of COVID-19, 86 to 100% efficacy was observed from 7 days after the second dose.	g4hlvnmq
2473	"""We present evidence that mRNA vaccines induce a severe disruption in type I interferon signaling, which has diverse adverse consequences to human health. The mRNA vaccines potentially cause an elevated risk to infectious diseases &amp; cancer."""	52lf5gzr
2475	the #scottishburdenofdisease study discovered that years of life lost to #covid19 mortality fell in 2021, from 2020.   despite overall decreases, covid-19 mortality disparities increased in 2021.   read more in the published  paper 👇	08z6z7d5
2476	"israel study: ""we did not observe an increased incidence of neither myocarditis nor pericarditis in adult patients recovering from covid-19 infection."""	tij7lakb
2478	the effects of contracting covid-19 on cognitive impairments at work: individuals who contract covid-19 often experience problems with memory, attention, and focus, even after recovering from the initial illness.	snjg9p0o
2479	Among those with dementia, traumatic events such as pneumonia, hip fracture, loss of a spouse can be devastating, precipitating functional+cognitive decline+stress for caregivers, a nice study provides needed data on incidence and prevalence of these events.	afumc21g
2480	"encore décevant... ""the study by discovery ltd, the biggest private health insurer in south africa, showed that omicron reduced vaccine effectiveness against infection to 33% from 80% for delta"""	pa81t00f
2481	we've been tracking the alcohol consumption of a nationally representative sample of adults aged 30+ since before the outbreak. as the outbreak has continued, we found consumption decreased for men (by mar 2021), remained steady for women. alcohol issues escalated.	rmlee8jp
2482	"""We estimate that 22.1% of adult New Yorkers, approximately 1.5 million adults, had SARS-CoV-2 infection during the two study week duration. This estimate is 31-fold higher than the 49,253 cases in the official case records out as pre-print."""	k8vjv3zy
2483	"A significant autopsy study with crucial findings: ""the tiny fraction of co-infections in sars-cov-2 positive patients who died with common covid-19 symptoms strongly implies that the vast majority of sars-cov-2 infected patients died from rather than with the virus"""	gss2lw8m
2484	but how soon does it take? is it quick enough to handle a brief incubation period?  i got the impression from this article that it could be up to 2 weeks to contain an infection which is too long.	ogx40z8c
2486	Regarding the myth post-covid myocarditis is more common than post-vax in adolescent boys: out of 74,611 Danish children with Covid, 0 had a diagnosis of myocarditis in the 2 months following infection compare this with 1/2700 rate in adolescent boys post dose 2 Pfizer.	1ha9cubv
2487	Crushing MV with Ayurveda-1:  these are the remedies the western scientists have finally accepted the usage of Ayurvedic herbs and shrubs for the cure of any type of viral infections. You Indians don't respect Ayurveda but the west is stealing it for its own.	adusu6pm
2488	as if sheep like you ever glance at scientific studies 😂 here's dozens from the last 70 odd years showing masks are ineffective at stopping viruses but can cause health problems and even increase infection.  great research sunshine. 😉	ef3warsh
2490	A study comparing immunity in the vaccinated-only vs those vaccinated *after recovery* implies the robust natural immunity seen in the israel &amp; uk data is actually *undermined* by a supplemental jab.	t4y1ylb3
