post_id	tweet_text	cord_uid	bm25_topk	in_topx
3602	whoa: modest sized south african study shows mild-to-moderate covid-19 developed in 23 of 717 placebo recipients (3.2%) and in 19 of 750 AZ vaccine recipients (2.5%), for an efficacy of 21.9% (95% confidence interval [CI], -49.9 to 59.8).	wnm89gfo	['wnm89gfo', '86qczmbt', '0pptqw7o', 'nuu9l5kx', '79xnx9gr']	1.0
3604	"Feb 2021: ""we estimate that approximately 3.4 billion single-use #facemasks/face shields are discarded daily as a result of the covid-19 pandemic... analysis does indicate that #covid19 will reverse the momentum of years-long [] battle to reduce plastic waste #pollution"""	5a0yyowv	['5a0yyowv', '5aia1f36', '5b9jytph', 'qsyqnwn5', 'jzu70l93']	1.0
3605	Cannabidiol accelerated the development of sensitization to the expression of methamphetamine-induced conditioned place preference in male rats.	wgc0cqyw	['wgc0cqyw', 'stc36og1', 'njpq3sq2', '1hi3dr1i', '1quq3zq4']	1.0
3606	"#covid concerns > "" astra zeneca's vaccine does not shield against becoming infected with the south african variant of covid-19. this according to a new study from south africa"""	wnm89gfo	['5cog8xyr', '8cviwmi5', 'c4mz6w9r', 'sgo76prc', 'ikz8ui8y']	0.0
3607	Estrogen pretreatment decreases the risk of thromboembolic complications from COVID vaccines as estrogen influences the balance.	0yr25cxn	['0yr25cxn', 'kzl1dx8i', '9pp81nw7', 'i55203bt', 'f2ypnls4']	1.0
3608	in this trial, a single high dose of #vitamind3 (200k iu) increased mean serum 25-oh d levels but had no impact on hospital los in-hospital mortality, icu admission, or need for mechanical ventilation in moderate to severe #covid19, with or w/o vit d deficiency	p3ytwqeg	['p3ytwqeg', '7qrdvap1', '7dyhyruo', 'cyfdvgvy', 'cc23zega']	1.0
3609	"""It is generally thought the primary function of viral membrane fusion proteins (ie spike protein) is to enable the viruses to attach to the host cells for the purpose of viral entry into the cells, so that viral replication and multiplication can take place."""	evf9nz05	['3h3ihfyq', 'rwbciyze', 'mpthhazv', 'eecwjrdc', 'tbojvfq6']	0.0
3610	This could be positive news. The antibiotic clofazimine blocks two stages in SARS-CoV-2 infectious cycle, demonstrates synergy with remdesivir and is potentially also effective against other coronaviruses.	z0ni4cyl	['z0ni4cyl', 'oud5ioks', '7t7ho26v', 'm69ceq2t', 'myeiu66g']	1.0
3611	Experts and nhs have known since march 2020 that covid was largely a disease of healthcare institutions. lockdowns and other measures were a massive diversion away from these unacceptable failings.	4dsq1dds	['ex6dyr77', 'o6rgoe9t', 'r5552ql7', 'fnts8nhc', '630w2rtn']	0.0
3612	Research indicates that b.1.1.7 is not only more contagious than preexisting sars-cov-2 variants, but may also lead to more severe illness. Higher mortality rates were observed in community-tested cases of sars-cov-2 lineage b.1.1.7. #mmsm	1kubts7j	['1kubts7j', 'svxbesi4', 'i6u1x0xq', 't023li1a', 'xd5uhah4']	1.0
3613	Systematic review of 857 cardiac arrests with #covid19  💔arrests more often  ♀ nonshockable rhythms 84% 🌹 rosC in 33% ☠  92% hospital mortality 🏥 icu rosC ⬆, mortality ⬇      in	glyoiu93	['glyoiu93', 'kxx3szjq', 'znwa2kig', '4jri92pu', '8pislcjr']	1.0
3614	i've been hoping it's background signals linked to varied clot issues with concurrent or prior sars-cov-2,  or with oral contraceptive use (younger women overrepresented), or genetic predisposition to blood clotting disorders	wxxi37v9	['vjntos25', 'e8m2n9v6', '7g9fivhc', '5rlmaggu', '10l6kx3e']	0.0
3615	#clofazimine widely inhibits #coronaviruses including #sarscov2: role in the control of the current pandemic sars-cov-2, and, possibly most importantly, emerging covs of the future	z0ni4cyl	['z0ni4cyl', 'q1nye2ih', 'pfgloqz5', '5yscqct1', 'ju3d0xvy']	1.0
3616	patients that tested positive for antibodies had a significantly more severe prognosis than other patients did: 40% w/antibodies died due to covid-19 complications during hospitalization, whereas only 5.5% who did not have antibodies died.	u07jsjmf	['u07jsjmf', 'vzloj6b3', 'f8yphpxl', 'il4wa97x', 'y6jw3gws']	1.0
3618	A two-dose regimen of the Astrazeneca vaccine did not demonstrate protection against mild-to-moderate COVID-19 due to the B.1.351 variant.	wnm89gfo	['wnm89gfo', 'ksvw62gl', 'ypqusgs3', '8lnjbxe5', 't4y1ylb3']	1.0
3619	This report that has me somewhat worried about vaccine evasion by a strain. most previous reports were neutralizing antibody studies. these are clinical results.   astra zeneca vaccine was  only 10% effective against the  b.1.351 strain in south africa.	wnm89gfo	['oa81rhdb', 'y930bpqt', '7obhnmah', 'gufhaylj', '53t1mhnb']	0.0
3620	"""In a multistate telephone survey of symptomatic adults who had a confirmed outpatient test result for COVID-19 infection, 35% had not regained their usual state of health when interviewed 2–3 weeks after testing."""	f0wpsaip	['f0wpsaip', '64ugdvfe', 'eay6qfhz', 'mz1bof2x', 'hsimf7wt']	1.0
3621	Statistics from the Israeli health fund show 1.3m people have been vaccinated with BNT-Pfizer, out of 1.8m. Protection started on day 12, peaked at 35:  - effectiveness against infection: 91.2% (CI 89-93) (95% from 35 days) - effectiveness against symptomatic COVID-19: 99.3% (CI 95-99.9)	xj65j05e	['yjm6asp5', 'df65w0lx', '5bk0w0sa', 'mmr04tsm', 'tp7wthiv']	0.0
3622	The South Africa variant vaccine does not protect against mild and moderate COVID-19 disease.	wnm89gfo	['von13s78', '43om0nji', 'h26a3h5f', 'pvw9t7zd', '7obhnmah']	0.0
3623	Masks are ineffective, damaging (physically n mentally) and never intended for general population use.  Physician &amp; surgeon associations have never endorsed masks. Don't be a follower.	mkgszhkk	['umvrwgaw', '3zdv9zim', 'cxqzo58q', '65efipbi', 'fe14iohb']	0.0
3624	Effective oxygen use  many doctors don’t realize that...  excessive oxygen can increase mortality by 20%  16,000 patients studied in a meta analysis⬇️  medical grade oxygen is a medication.  it’s hazardous &gt;94-96% range  (supply shortages must be addressed though)	p37dnoj8	['8pli09ym', 'p37dnoj8', 'g7e1mcve', 'uj0k84vk', 'uejtwgar']	0.5
3625	"""comparing weekly mortality in 24 european countries, the findings in this paper suggest that more stringent lockdown policies have not been associated with lower mortality. in other words, the lockdowns have not achieved their goal""."	91gytlg2	['0hbyplqq', 'qcxpmfmq', 'samf1kwn', '0r0zdpds', '91gytlg2']	0.2
3627	"4/   ""a landmark study published in the lancet psychiatry this month confirmed such issues (mental-health issues arising months after covid infection""  ""1 in 3 people with covid received a formal neurological or psychiatric diagnosis within 6 months"""	rnq3k34m	['rnq3k34m', '4pyx0xps', '25aj8rj5', 'f5m4ndx4', 'ohfi48d6']	1.0
3628	the sars-cov-2 spike protein disrupts barrier function in 2d static and 3d microfluidic in-vitro models of the human blood–brain barrier	hkk23tqt	['hkk23tqt', 'z92xqedn', 'aj885nl0', '2uy0jjdh', '2w6p6jji']	1.0
3629	"""Evaluating various estimates, we conclude that 20 days after becoming mandatory face masks have reduced the number of new infections by around 45%."""	rpwmcqbg	['rpwmcqbg', 'zycgczqy', '2gjo4oqn', 'z479u0e3', 'ktjhr028']	1.0
3630	"""We present robust evidence that international introductions &amp; inter-provincial transmission...contributed to the Canadian COVID burden throughout 2020...More stringent border controls &amp; quarantine measures may have limited introductions...into California &amp; may still be justified."""	vrixi8sq	['vrixi8sq', 'bxuwx1jj', 'isniqv6b', '74o2xil2', 'gd19rkm2']	1.0
3631	Our pre-release is out! We discovered that isolation, factors linked to the capacity to keep up with schoolwork, and perceived backing from school were significant predictors of increased COVID-19-related stress and wellbeing.	qn18rhcs	['qn18rhcs', 'on1y4mdw', '597jqeoj', 'e9xx6mhg', 'w3kkizaq']	1.0
3632	"Its finally out-our study on the role of residential racial segregation on mobility and exposure to covid-19. ""our study demonstrates that segregation unsurprisingly likely impacts mobility rates which impacts exposure to and incidence of covid-19."	piuasuld	['piuasuld', '8d0zb0lw', 'nih4l4ok', 'f6rx4h3r', 'mttosjh7']	1.0
3633	"""This has significant implications for control of COVID-19, suggesting that surgical face masks could be used by unwell people to reduce onward transmission."""	g17lp8ch	['iu1d9i57', 'qsyqnwn5', 'hf79cbuq', 'atloc9th', '2gjo4oqn']	0.0
3634	in washington, 52 people contracted covid at a choir practice  one symptomatic patient infected 87% of members  if you ever get covid, it’s likely coming from a human droplet, instead of shoes or clothes or boxes or atms or groceries  6-ft + mask = safety	pdiyqdb3	['4pyx0xps', 'pdiyqdb3', 'opjfy3xr', 'fo9uq389', 'snlukr6c']	0.5
3635	link compartilhado pelo dr zelenko: does zinc supplementation boost the clinical efficacy of chloroquine/hydroxychloroquine to win todays battle against covid-19? - refute esse estudo.	p5ceve0x	['p5ceve0x', '1mz44ole', '0vjxc1bm', 'xgfk6txz', '4cnk76lb']	1.0
3636	Examination of #covid19 spread from a man in germany who attended a conference.  •he had no symptoms   •12 out of 14 infected (86%)  •activities where exposure likely happened included: dinner, sitting in a taxi, being in the same meeting	bck22z87	['be4afbyo', 'osct0lj6', 'hgpiig0g', 'a7frertc', 'pf2wsny3']	0.0
3637	Excellent news!  a targeted Covid vaccine's animal trial in Oxford shows promise. single dose given to monkeys with control group:  no pneumonia developed in vaccinated animals and viral loads decreased.   human randomized trials are set to begin now.	uexahhdr	['uexahhdr', 'cpc1yefj', '8o2xddof', 'onbq7hia', '3jgm3uhs']	1.0
3638	Following a 2.5hr choir practice attended by 61 people, including a symptomatic index patient, 32 confirmed and 20 probable secondary COVID-19 cases occurred (attack rate = 53.3% to 86.7%). Transmission likely facilitated by close proximity and singing.	pdiyqdb3	['pdiyqdb3', 'fo9uq389', 'pg50i2ql', 'eq5qqshb', 'ljpeq5aw']	1.0
3639	thread on the probe into choir practice outbreak and my take on cause, having done forensic investigations of'sick buildings' for many years.  61 people, 1 index patient, 52 probable/confirmed cases, (secondary attack rate up to 86.7%). 2 died.	pdiyqdb3	['fo9uq389', 'pdiyqdb3', 'tz2shoso', 'ljpeq5aw', 'pg50i2ql']	0.5
3640	Insulin and several other diabetes treatments might help #covid19.	lh9tk4a4	['1l10diya', 'ypp1foym', 'xpqfpizp', 'mhj9o5z5', 'jc5ik84m']	0.0
3641	Another study, same findings. 'RAAS blockers do not elevate the risk of COVID-19 necessitating hospitalization, including fatal cases and those admitted to ICU units, and should not be halted to prevent a severe case of COVID-19'	10l12wgu	['10l12wgu', 'aq2iz9tq', '855atuue', 'd5sxycaw', 'hunepli1']	1.0
3642	it's because standard issue face masks do nothing to prevent the spread of viral infection. please don't take my word for it. read this current bulletin by our cdc that simply explains scientific studies proving mask ineffectiveness during a viral pandemic	ef3warsh	['a0q61mpi', '7ruoysxu', 'dhd9e9bn', 'unl3n0tn', 'sxi0tpsf']	0.0
3643	"A vaccine against coronavirus will seriously damage us. here is a paper which states ""immunization with sars coronavirus vaccines leads to pulmonary immunopathology"" meaning the vaccine will damage our lungs more than the disease. do not accept the vaccine."	hb2lieh3	['0i12e4tn', 'f6vau5s6', 'wt6azxc1', '582ld85p', 'ikacd7ls']	0.0
3644	"""N95 filtering facepiece respirators do not reliably provide respiratory protection during chest compression: a simulation study"" this is unfortunate. 60-90% of people who pass an N95 fit test at rest will fail the test during active chest compressions."	gh9sy7sl	['gh9sy7sl', 'f0judfwn', 'rhbqgjnm', 'dxrltm25', '2f7wqamp']	1.0
3645	Another step to keep surgeons and or staff a bit safer during this crisis.  topical treatments to reduce SARS-CoV-2 aerosolization in head and neck mucosal surgery.	0bbxyyea	['0bbxyyea', '606wa84c', 'kl8kg0yv', 't0s5ufzv', 'w4dyadpa']	1.0
3646	Further preliminary evidence suggests social distancing measures have reduced the spread where they have been enforced. The study found that spread was more than 35x higher in areas that didn't enforce social distancing measures.	ereh4ub8	['muufs0c9', 'm1d8znrs', '46al6phc', '1u532bz9', 'lzwgyzdp']	0.0
3648	there've been reports that #covid19 viruses may be shed in the stool of infected individuals. but most (all?) were based on pcr tests, which don't confirm if there was infectious virus present. researchers from guangzhou did the extra work, found there was.	nbqukjzv	['v6w9mlsa', '3w5ouagx', 'vxv7pq8v', 'hakz1lr3', '0rrhiw9m']	0.0
3649	"A recent study comparing border counties in Illinois (issued stay at home) and Iowa found that Iowa's failure to issue a ""stay at home"" order led to 30% more cases."	yuw7dvcn	['yuw7dvcn', 'ixvsemvw', '7omyaap8', 's7wykoze', 'iz5uzizo']	1.0
3650	"""We discover 3.6% of infected people are hospitalised and 0.7% perish"" estimating the burden of sars-cov-2 in france | science"	kmkeetl3	['kmkeetl3', 'fteydbm8', 'v056i6g7', 'nlnkgkjo', '6vqf2n5j']	1.0
3651	mortality rate of 1.3% for covid-19, not counting asymptomatic cases, estimated by other sources as &gt;50%	fbsrggog	['5cno180i', 'tql5cv8k', 'qi1henyy', '65ois1qn', 'wjktna81']	0.0
3652	The SARS-CoV-2 virus can be adapted to a different species within a few passages without genetic modification or advanced biotechnology.	gg0p6ct8	['jowowl0v', 'u3ympejy', 'pwvcwlh8', 'mqnqjn0c', 'h2uc7ria']	0.0
3653	the flu vaccine increases the risk of adverse reactions due to 'viral interference', when a recipient of the flu vaccine encounters coronavirus.    'vaccine-derived viral interference was significantly associated with coronavirus'	30r8zd0l	['ys7vovie', 'k7vjqzx1', 'q2i328sz', '30r8zd0l', 'a8u31pkr']	0.25
3654	oh no. finally a study is out rigorously quantifying #sarscov2 #covid19 #coronavirus in stool. bad news...there's infectious virus in there. so fecal transmission is possible, but is it occurring in the real world?	nbqukjzv	['0eftiyuw', 'fxvro3wl', 'i513q4l4', 'v67s4yz9', '3huh7iwn']	0.0
3655	hydroxychloroquine lacks efficacy evidence but has a well-documented history of prolonging qt interval and raising the risk of torsade de pointes. no one should be taking it outside of a trial. it's all downside risk currently. see nejm study:	pzqmg22v	['u31ixcwa', 'sm0112e3', '2qwk2z22', '5gorynd2', '6buxpp8x']	0.0
3656	I call it “evidence-driven medicine”  2005 national institutes of health published, peer-reviewed study:  “chloroquine is a potent inhibitor of SARS coronavirus infection and spread.”	dgnddq80	['dgnddq80', '4ckob7b0', 'fyyibj9j', 'jlkpeh4j', 'aifv23fw']	1.0
3657	Some recent studies have indicated the supremacy of clarithromycin over azithromycin in COVID. This one (n=90) concentrates on the advantage of early clarithromycin (within 5 days of symptom onset) with increased odds of end-of-treatment outcome (x 6.6).	0y4f1sgn	['0y4f1sgn', 'embn75dc', 'mut94ov1', 'zu5mg2im', '2lk2vm5r']	1.0
3658	🇳🇴 intriguing Norwegian study from early 2021 of:   school closures v ⬇️class sizes &amp; ⬇️mixing (w/only limited mask use for staff). found school closures weren't more effective.  suggests even without child masking, school closures weren't necessary.	f6l0hwyw	['y2zcwcic', 'r2hovw0y', 'f6l0hwyw', 'xnrp2tpd', '3jrb0sn8']	0.3333333333333333
3659	Highlights: • mrna vaccines induce prolonged production of the sars-cov-2 spike protein.  • the spike protein is neurotoxic, and it disrupts dna repair mechanisms.  • suppression of type i interferon responses leads to weakened innate immunity.	52lf5gzr	['qt3kk30m', '52lf5gzr', 'bkbjlos2', '6hl55c60', '3bo4md44']	0.5
3661	population-based study (n=908 272) on *every* child &amp; adolescent in norway reveals deterioration in mental health beyond linear &amp; seasonal trends. registry data showed increase in primary &amp; specialist psychiatric consultations from late 2020/early 2021:	9sv03cqa	['9sv03cqa', 'g0ofqh8r', 'bc8xa92n', 'f64tksb4', 'xkmy79p9']	1.0
3662	‼️ updated ‼️ 49% of #covid19 survivors reported persistent symptoms 4 months after diagnosis, estimates a meta-analysis of 31 studies published in the journal of infectious diseases. #longcovid prevalence among hospitalized patients: 54%, 34% for outpatients.	e5y8pp5b	['5351oj7i', 'oah1to9w', '9iz8papc', 'hsimf7wt', 'ipdrujuv']	0.0
3663	A 2021 study by et al. discovered that out-group hostility fuels interaction on social media. Twitter and Facebook posts about political out-groups were shared or retweeted roughly twice as frequently as posts about the in-group.	7a8ym7uj	['7a8ym7uj', 'b6bl0xrc', 'bhjwd01o', '7fapl71l', 'n508o874']	1.0
3664	a lot of people have had asymptomatic covid. they never realized they'd been infected. how do you get into the 3rd year of the pandemic and not know that?	6hl6rtsh	['6pn9jwfn', '65efipbi', '0l5li1f0', '5tkxucuw', 'msut5gyc']	0.0
3665	They have no knowledge. It's all misinformation. History of air travel, contract tracing, and transmissions has never led to a large number of passengers getting infected. Airplane air filtration is of the highest quality.	poh3te9j	['ach2lhhe', 'gu4mz2vp', 's1olwzxi', 'hnsv4ov0', 'qfrenkb6']	0.0
3666	yes. i also know that masks are more than additively effective when both sender and target wear them.	hqapg5ow	['hqapg5ow', 'umvrwgaw', 'zue5hnal', 'ximw03ej', '3h80bn0k']	1.0
3667	Pre-procedural testing enhances estimated COVID-19 prevalence &amp; trends:mean positivity rates 0.1% for pre-procedural group,3.9% for symptomatic,4.2% for exposed,2.0% total study population.post-outbreak,mean positivity rate of pre-procedural⬇️than aggregate	sfr2nsmi	['sfr2nsmi', '4742ozfb', '7ycaloeb', 'u1q6wl45', 'vwrhypnl']	1.0
3668	Disgraceful, CDC says flu vaccine 15% efficacy 2021–22, but failed to disclose big pharma's profits, hindering a proper cost/benefit analysis.	0pcgcbjw	['zwil22bs', '6vkab51a', 'aclzp3iy', '2qcuygax', 'k7vjqzx1']	0.0
3669	"The COVID virus employs various cell types to replicate &amp; ade  ""in macrophages, entry could also occur via phagocytosis of viral particles, phagocytosis of infected cells, or, if antibodies were present, via antibody-dependent entry""  ade may be happening with BA.2."	c80hle1p	['w0vjyycy', '0illlel7', '4uqgpb0w', 'pbb9nrba', 'cvoef8qt']	0.0
3670	omicron breakthrough infections are likely due to high sequence variation of the spike protein &amp; reflect incomplete immune protection from previous infection w/ strains that preceded omicron or w/ vaccinations based on the original Wuhan strain. 7/	rlhayt20	['rlhayt20', '7bhue8w5', '53t1mhnb', '6a6tyvtz', 'mi6bdisx']	1.0
3671	Risks of deep vein thrombosis, pulmonary embolism, and hemorrhage following covid-19: nationwide self-controlled cases series and matched cohort study	xi17qo6z	['xi17qo6z', 'xf7k56sp', 'ynwc739g', 'vszlmtf4', 'agtb0rzb']	1.0
3672	Lancet paper: the re-infection rate in the UK, encompassing alpha and delta waves, was ~0.7% in adults and ~0.2% in children. It is astonishing that politicians and public health officials push mandates that disregard immunity after COVID recovery.	5nxcmedx	['u89jd28e', '5nxcmedx', '6ffz2va2', '5g02ykhi', 'k6cumncp']	0.5
3673	factors affecting graduate students' behavioral intention to use Google Classroom: case study-mixed methods research	nqqngrqv	['nqqngrqv', '9ppg80x4', '445cz8gu', '52htv15k', 'gvp58frm']	1.0
3674	the #covid19 (not the illness per se, but yes the #pandemic) exacerbated the #health of #pregnant women check out our last publication 👉🏻	xn2zi1uq	['rm6av6sj', 'emg87q94', 'vjtwipu9', '98pujiph', 'hgpiig0g']	0.0
3675	Pneumonia is a lung infection, it typically has more respiratory symptoms, while the flu is accompanied by muscular aches and pains and exhaustion.  Medical expertise is really a science.	aqutzlx4	['b3doorzq', 'aqutzlx4', 'ofavwj52', 'awn23o8y', 'spiud6ok']	0.5
3676	here we have conclusive evidence the spike travels to all organs.  “in 💉, such as mrna vaccines, the translated sp (spike protein) is released into interstitial fluid/blood, distributed to many organs and triggers an immune response.”	0u14wypb	['p7cbnrji', '582ld85p', 'fw7yp9jv', 'awpwbcwt', 'xgfk6txz']	0.0
3677	yet further progress in inducing broad neutralizing variant-resistant antibodies that would be effective across sarbecoviruses.  towards the pan-coronavirus vaccine we require.	ldyumgm9	['0m2hqvxj', 'lrqt2gcw', '43joavrl', 'hah9mrnh', 'nl1ud0rz']	0.0
3678	"this cdc report summarizes 70 years of controlled experiments which had already established widely known fact that masks don't work for viruses.  ""in pooled analysis, we found no significant decrease in influenza transmission with the use of face masks.”"	ef3warsh	['iu1d9i57', 'y43prnko', 'dhd9e9bn', '1vcc1khg', 'w3ls1d7w']	0.0
3679	The advantage of vaccination in children age 5-11 for reduction in hospitalizations and the frequency of kids hospitalized with no underlying conditions.	r1m709hb	['r1m709hb', '25bdifv6', 'gi21di4d', 'uqeikj0m', 'xjc0l0tv']	1.0
3680	don’t think #covid infection is a big deal? simply being infected makes you 25x more likely to die after elective surgeries &amp; 5x more likely to die after urgent cases. it becomes your underlying condition. research suggests delaying by at least 7 weeks.	0w905c2x	['7lli72ph', 'zjur5j95', 'xhazsa7r', 'vrzl7h45', '4rsvcbnz']	0.0
3681	"eek.  ""regarding systemic adverse reactions, fever and tiredness did not correlate with anti-spike igg titer; however, those who experienced headache or swollen lymph nodes tended to have higher anti-spike igg titer after the third vaccination"""	dfpmbtqk	['dfpmbtqk', '6d5tp5hy', '7iuls8x1', 'nc0fbytt', 'm5s67z8x']	1.0
3682	"please wear masks. masks crafted from cotton t-shirts are 70% effective. dishcloths are 83% effective. when the who says masks don't protect, they mean ""we can't guarantee 100% protection."" but 70% reduces viral coefficient enough to halt this pandemic."	w2c01295	['w2c01295', 'h2sza0if', 'vvmb92wo', 'umvrwgaw', 'x51jorbm']	1.0
3683	Research indicates 29% of COVID-19 patients are medical workers. during times like these it's extra important to look out for one another.	6yinwbfh	['eiomk2fh', 'gk1avld0', '39dqjlly', 'kl8kg0yv', '6lsl7ahj']	0.0
3684	11) further, 69% of autopsies of deceased #covid19 patients show liver infections.	br0hhzmn	['br0hhzmn', 'kojb8efv', 'emg87q94', 'leokcqqy', '9vej295g']	1.0
3685	scov2 infection causes infected hosts to shed scov2 s1 spike glycoproteins. there isn't any possibility of artificially-elicited scov2 spike proteins being excreted via feces, urine, &amp; perspiration, at all? it somehow vanishes in the body &amp; disappears...	00xuw5j9	['2uy0jjdh', 'rr0v0ju1', 'hwpn7ti1', 'ml8arkpd', '8flh54lv']	0.0
3686	"🚨 new research, relevant to 'enigma' child #hepatitis.  🚨69% autopsied livers sars-cov-2 rna + 🚨proteomic- etc profiles show ""similarities to signatures assoc with multiple other viral infections of human liver"" but was shown to be covid inf of hep cells"	br0hhzmn	['br0hhzmn', 'cdltu9vs', '05djnz4p', 'mt72f4dq', '1r2uvoqf']	1.0
3687	an engineered ACE2 decoy neutralizes the SARS-CoV-2 Omicron variant and confers protection against infection in a living organism	fjuehj70	['fjuehj70', 'pq0t6x88', '1mx3jrup', '7obhnmah', 'h8tv2u77']	1.0
3688	in case you haven't seen this⬇️ severe hepatitis is a presentation of the multisystem inflammatory syndrome in children, close follow-up was warranted  in 2020 given the then limited knowledge of the long-term impact of sars-cov-2 on the liver.....	0bdi3yxk	['0bdi3yxk', 'u3ihnglr', '1syeo6ff', 'gdfvt4pu', 'ves8qc0c']	1.0
3689	"""In a laboratory study and a field experiment across five countries (in Europe, the Middle East and South Asia), we demonstrate that videoconferencing hampers the generation of creative ideas"""	qa6za0yf	['qa6za0yf', 'k42xr256', 'rvzvibbt', 'xavegbty', '1m2mp7o7']	1.0
3690	"hepatitis in sars-cov (2003):  ""liver damage is commonly reported in up to 60% of patients who suffer from severe acute respiratory syndrome (sars). here we report the clinical course and liver pathology in three sars patients with liver damage."""	77bq8tdy	['77bq8tdy', '0bdi3yxk', 'adhj5e5s', 'tyrgtwo7', '5ngmdwgb']	1.0
3691	new article on epipharyngeal abrasive treatment (EAT) in #longcovid! the authors note that EAT reduced inflammation in the epipharynx, fatigue, headache and attention disorder. read the full article here.	7jwqm0b2	['7jwqm0b2', '6sy80720', 'hunepli1', 'jfxdfbq6', '8rvhqd9b']	1.0
3692	Breaking news article revealing alarming autoimmune &amp; thrombotic events are a worry after cvvac. especially relevant to those who already have autoimmune &amp; higher risk for clots.	4socpj73	['4socpj73', '0b1dbz6q', 'ym5my5st', 'sgj526ne', 'v1uoy0sd']	1.0
3693	Some scientific studies have compared #covid to AIDS in the way it attacks the organs &amp; immune system. I remember reading a tweet from someone calling covid “airborne AIDS”. 😳 I dread to think what all these repeated infections are doing to kids.  😞	qyj6y9jc	['a0q61mpi', '1adofojj', '844229sb', 'nmmayjcp', 'l6zsf85e']	0.0
3694	latest study #longcovid randomised clinical trial  we discovered an online breathing and wellbeing course (eno breathe) can:  ⬆️ mental component of health related quality of life  ⬇️ aspects of breathlessness 👍+ve participant feedback	4ml4dfs0	['4ml4dfs0', 'hcn2m7v1', 'h9nzxlaf', '8ggucrp6', '86xwnpde']	1.0
3695	"what many credible #medtwitter suspected ""this also indicates that #longcovid is fundamentally a thrombotic complication."" it seems the general public should be aware of the risks, blood thinners can be a game changer in early stage. now what about us?"	8rvhqd9b	['tm9jb7bq', 'kzl1dx8i', 'qlfp54io', 'e4y6l4lx', 'eiomk2fh']	0.0
3696	interesting observational discovery to investigate further:  cancer survivors had modified gut bacteria compared to healthy counterparts. distinct bacteria in their intestines correlated w/ gastrointestinal symptoms &amp; w/ psychosocial symptoms.   does cancer &amp; treatment permanently change gut bacteria?	7m33mjl1	['7m33mjl1', 'z9ezgcua', 'suhax8lh', 'pzbs8e1h', 'h8x5cpz4']	1.0
3697	"gov has known what worked  with  100% cure rate and zero deaths since april 2020. instead they pushed for a ""vax"" that doesn't prevent catching/spreading covid."	mqk72say	['slzh6uay', '401l7jbn', 'z68tl88x', 'cfi5zhgu', 'd06npvro']	0.0
3698	Vaccines show limited efficacy against omicron. peer reviewed article.	pa81t00f	['z22g03v4', 'd21lvneh', 'mj3gdjxj', '41uuzzpg', '5nyc1cn5']	0.0
3699	Copper as an antimicrobial substance: recent breakthroughs	o5wugbzo	['o5wugbzo', 'nlv939ft', '1igydu3y', 'ierqfgo5', 'ib17jyva']	1.0
3700	"ohh for goodness sake.   smallpox vaccine also ""didn't stop transmission""   the current vaccine gives you 6x less of a chance of acquiring covid-19. that's impressive. that's stopping transmission.   see the bottom graph on this page."	z6sjfdb9	['bmt2zpmv', 'ycxyn2a2', 'jfpa3rih', 'byw8jsqv', 'frx9hfxg']	0.0
3701	A high-resolution study of #sarscov2 infectiousness: weak correlation with symptoms, significant variability in shedding 🆕	p91vvukr	['kvcx11yo', '4qgfjczw', 'azb1x6cs', 'p91vvukr', 'tvg6q8cw']	0.25
3702	nature: meer hartaanvallen onder 40 tijdens vaccinatiecampagne in israel.  more emergency cardiovascular events among under-40 population in israel during vaccine rollout and third covid-19 wave | scientific reports.	mxg2q1vd	['mxg2q1vd', '1mu1o8rj', 'xi17qo6z', '79xnx9gr', 'm39qdgey']	1.0
3703	"why were marijuana stores declared ""essential"" during the outbreak? ""unintentional cannabis exposures in children aged 6 months to 5 years reported to united states poison centers increased significantly after the initial covid-19 stay-at-home orders"""	ku59o299	['ku59o299', 'akkwvf36', '6ukt0gbn', 'm39qdgey', '0p6ewe6x']	1.0
3704	Over 75% of us adults have at least one heightened-risk condition for severe #covid19, according to research from 2021.  an even higher number likely now have heightened-risk conditions as a result of covid &amp; #longcovid!  we need to take action to save lives	9oxajwkk	['snlukr6c', '25aj8rj5', '4pyx0xps', 'o6zww1rr', '6ir39t8h']	0.0
3705	This cross-sectional study of opioid-related overdose deaths by race and ethnicity in Massachusetts found that cumulative excess mortality rose steadily for Black people during the #covid19 pandemic.	3l3zs90e	['3l3zs90e', '3o7rd8pt', '6hkqe14l', 'fynl88p5', 'ekgqdjlk']	1.0
3706	This cross-sectional study discovered #covid19 pandemic was linked to a rise in firearm-related incidents (15%), injuries (34%), and fatalities (28%) across the us; higher from june to october 2020, and in minnesota and new york state.	9wkqqm4z	['9wkqqm4z', '8d0p6qpc', 'r4j1rcm5', 'emg87q94', 'q92unteg']	1.0
3707	"""statistics reveal that the heightened risk of myocarditis following vaccination is most pronounced in younger males. the agency has suggested revising the product details accordingly."""	hh643w7m	['dksw5yzp', 'zkxrjk3p', 'umrk96gz', 'g0cgjlok', 'st67fvgk']	0.0
3708	Cellular immunity is strong and effective against omicron. This is the most significant (and overlooked) scientific paper of the entire omicron saga. The fixation on antibody levels has diverted attention away from comprehensive immunity, including humoral.	vkxf3gha	['2tax8ajw', 'r5552ql7', 'q7vv128t', 'z3msyl45', '4et61my3']	0.0
